"","Name","Genre 1","Genre 2","Genre 3","All_Time_Peak","positive_ratings","negative_ratings"
"605","Puzzle Galaxies","Casual","Indie",NA,6223,81,38
"606","Torchlight","RPG",NA,NA,6217,3825,317
"607","Fable Anniversary","RPG",NA,NA,6186,4036,1119
"608","The Witness","Adventure","Indie",NA,6185,6572,1282
"609","RADical ROACH Remastered","Action","Adventure","Casual",6170,541,491
"610","Blackwake","Action","Casual","Indie",6159,9352,1367
"611","The Flame in the Flood","Action","Adventure","Indie",6158,3612,1139
"612","CPUCores :: Maximize Your FPS","Utilities",NA,NA,6139,6208,2324
"613","Papers, Please","Adventure","Indie",NA,6129,25587,1103
"614","Cubicity","Indie",NA,NA,6116,18,4
"615","Dishonored®: Death of the Outsider™","Action",NA,NA,6086,2864,541
"616","Overcast - Walden and the Werewolf","Action","Adventure","Indie",6084,1570,1027
"617","Octave","Adventure","Indie",NA,6083,86,31
"618","Cubic complex","Adventure","Casual","Indie",6078,12,8
"619","Legend of Grimrock","Adventure","Indie","RPG",6075,4420,268
"620","Microsoft Flight Simulator X: Steam Edition","Simulation",NA,NA,6051,8859,2282
"621","OneScreen Wagons","Indie","Massively Multiplayer",NA,6045,11,2
"622","Stranded Deep","Adventure","Indie","Early Access",6036,15604,5459
"623","Orcs Must Die!","Action","Indie","Strategy",6000,5371,180
"624","Weapons Genius","Action","Casual","Indie",5994,387,538
"625","The Surge","Action","RPG",NA,5978,3220,1113
"626","Rigor Mortis","Casual","Indie",NA,5970,33,19
"627","Outlast 2","Sexual Content","Nudity","Violent",5966,10790,1563
"628","Star Merc","Action","Adventure","Casual",5944,29,12
"629","EARTH DEFENSE FORCE 4.1 The Shadow of New Despair","Action",NA,NA,5940,4325,267
"630","Unknown Battle","Action","Adventure","Indie",5924,186,429
"631","Company of Heroes","Violent","Action","Strategy",5906,2526,287
"632","Neon Hardcorps","Action","Indie",NA,5886,111,126
"633","N0-EXIT","Action","Adventure","Indie",5859,0,5
"634","Urban Empire","Simulation","Strategy",NA,5840,772,1439
"635","Saints Row: Gat out of Hell","Action",NA,NA,5827,5203,1843
"636","Cyberhunt","Action","Adventure","Casual",5810,322,70
"637","METAL GEAR SOLID V: GROUND ZEROES","Action","Adventure",NA,5810,7953,1692
"638","Card Hunter","Free to Play","RPG","Strategy",5800,3146,499
"639","Cossacks 3","Strategy",NA,NA,5797,4298,1432
"640","Jagged Alliance 2 - Wildfire","RPG","Strategy",NA,5794,454,180
"641","Really Big Sky","Action","Indie",NA,5784,1429,462
"642","Magma Chamber","Action","Adventure","Casual",5763,26,10
"643","Stronghold Crusader 2","Simulation","Strategy",NA,5763,4280,2786
"644","Legion TD 2","Indie","Strategy","Early Access",5753,1425,507
"645","Skater XL","Action","Indie","Simulation",5741,1328,267
"646","Dude Simulator 2","Action","Adventure","Indie",5737,195,215
"647","aMAZE 2","Casual","Indie",NA,5735,316,63
"648","America's Army 3","Action",NA,NA,5735,1515,723
"649","TerraTech","Action","Indie",NA,5726,4769,1022
"650","Rebel Galaxy","Action","Adventure","Indie",5717,5100,881
"651","Impossible Geometry","Adventure","Casual","Indie",5714,10,8
"652","Dungetris","Adventure","Indie","RPG",5712,380,104
"653","Mortificatio","Adventure","Indie",NA,5711,28,11
"654","StarFence: Heroic Edition","Action","Casual","Indie",5704,22,20
"655","Soda Dungeon","Casual","Free to Play","RPG",5690,3624,240
"656","Valiant Hearts: The Great War™ / Soldats Inconnus : Mémoires de la Grande Guerre™","Adventure",NA,NA,5683,15650,709
"657","Amnesia: The Dark Descent","Action","Adventure","Indie",5666,20222,1199
"658","F1 2016","Racing","Simulation","Sports",5658,3237,612
"659","Minimalism","Action","Adventure","Casual",5657,307,155
"660","Reset 1-1","Indie",NA,NA,5657,127,63
"661","Hellblade: Senua's Sacrifice","Action","Adventure","Indie",5653,20227,1805
"662","Space Beret","Action","Casual","Indie",5640,285,282
"663","UNO","Casual",NA,NA,5639,2923,2015
"664","Transformice","Free to Play","Indie","Massively Multiplayer",5636,11701,2227
"665","Freebie","Casual","Indie",NA,5623,965,318
"666","Linea, the Game","Action","Casual","Indie",5592,730,109
"667","Woodle Tree Adventures","Action","Adventure","Indie",5592,3824,1878
"668","Evil","Indie",NA,NA,5588,17,37
"669","SUPERHOT","Action","Indie",NA,5584,14847,2202
"670","MY FIGHT","Action","Indie",NA,5578,36,20
"671","Drift Streets Japan","Action","Indie","Massively Multiplayer",5559,1899,977
"672","Project of the Developer","Action","Indie",NA,5559,12,22
"673","Jagged Alliance - Back in Action","RPG","Simulation","Strategy",5553,730,345
"674","Warriors of Vilvatikta","Adventure","Indie","RPG",5550,59,74
"675","Ylands","Adventure","Casual","Early Access",5540,1900,847
"676","Deiland","Adventure","Casual","Indie",5519,203,60
"677","Project:surviving","Adventure","Casual","Indie",5513,22,29
"678","My Summer Car","Indie","Racing","Simulation",5509,12847,1309
"679","Pool of Death","RPG",NA,NA,5470,3,2
"680","Risk of Rain","Action","Indie","RPG",5462,22700,1589
"681","Arena: Blood on the Sand VR","Action",NA,NA,5460,0,8
"682","Railway Empire","Simulation","Strategy",NA,5446,2994,710
"683","Forge of Gods (RPG)","Free to Play","Massively Multiplayer","RPG",5445,2082,600
"684","Vendetta - Curse of Raven's Cry","Action","Indie","RPG",5445,130,125
"685","ANTIFECTOR","Action","Casual","Indie",5438,6,0
"686","Party Jousting","Casual","Indie","Sports",5438,575,58
"687","The LEGO® NINJAGO® Movie Video Game","Action",NA,NA,5434,196,41
"688","Drawful 2","Casual","Indie","Strategy",5430,289,37
"689","Battle Chasers: Nightwar","Indie","RPG",NA,5375,2987,375
"690","CarX Drift Racing Online","Massively Multiplayer","Racing","Simulation",5369,3048,374
"691","音灵 INVAXION","Casual","Indie","Racing",5350,2155,1780
"692","Life is Feudal: MMO","Action","Adventure","Massively Multiplayer",5331,1524,2223
"693","Box Maze","Action","Adventure","Casual",5313,66,29
"694","Mitos.is: The Game","Free to Play","Simulation",NA,5299,9463,2158
"695","Nuclear Dawn","Action","Strategy",NA,5283,1675,441
"696","Insincere","Action","Indie",NA,5281,113,98
"697","Rising","Violent","Gore","Action",5271,3,2
"698","Eventide Night","Casual","Indie",NA,5265,24,1
"699","Dream Stone","Adventure","Indie",NA,5264,9,4
"700","Warhammer 40,000: Eternal Crusade","Violent","Action","Adventure",5230,5439,5580
"701","Stickmageddon","Casual","Indie",NA,5229,8,21
"702","Naval Action","Action","Adventure","Indie",5222,3117,2029
"703","BitRay","Casual","Indie",NA,5218,360,132
"704","Crash Drive 2","Action","Casual","Indie",5214,625,101
"705","Puzzle Ball","Casual","Indie",NA,5207,27,34
"706","Super Space Pug","Action","Casual","Indie",5197,134,120
"707","Space Radiance","Casual","Indie",NA,5185,15,5
"708","Scribblenauts Unlimited","Adventure","Casual","Strategy",5180,6661,588
"709","Unforgiving Trials: The Space Crusade","Adventure","Indie","RPG",5175,144,100
"710","Cosmic Dust & Rust","Action","Casual","Indie",5164,230,166
"711","Miscreated","Action","Adventure","Indie",5159,17255,7903
"712","Stick Fight: The Game","Action","Casual","Indie",5147,24847,2795
"713","The Bizarre Creations of Keith the Magnificent","Adventure","Indie",NA,5143,7,3
"714","Metro 2033 Redux","Action",NA,NA,5139,28179,7313
"715","The Tower Of Elements","Action","Indie",NA,5139,166,127
"716","Acid Flip","Action","Adventure","Casual",5130,1,0
"717","L.A. Noire","Adventure","Strategy",NA,5115,14096,2315
"718","Rend","Action","Adventure","Indie",5111,773,521
"719","Happy Maze","Adventure","Casual","Indie",5109,68,20
"720","Dungeons of Dredmor","Casual","Indie","RPG",5098,3879,235
"721","Once in Yaissor","Adventure","Indie",NA,5073,667,104
"722","Wargroove","Indie","Strategy",NA,5065,1040,252
"723","Turmoil","Indie","Simulation","Strategy",5055,3154,359
"724","Getting Over It with Bennett Foddy","Action",NA,NA,5054,10964,2913
"725","Duck Game","Action","Indie",NA,5047,16769,755
"726","Valkyria Chronicles™","Action","RPG","Strategy",5039,8862,838
"727","Rusty Lake Hotel","Adventure","Indie",NA,5038,1311,86
"728","Gum Guy","Action","Adventure","Indie",5037,11,3
"729","Shadow Tactics: Blades of the Shogun","Indie","Strategy",NA,5037,9523,417
"730","AI War: Fleet Command","Indie","Strategy",NA,5027,1109,205
"731","Hero Siege","Action","Adventure","Indie",5015,14929,4023
"732","Gravity Den","Action","Adventure","Indie",5014,28,4
"733","My Own Little Planet","Action","Adventure","Casual",5000,14,12
"734","Running Gods","Action","Adventure","Casual",4993,13,5
"735","The Challenge","Adventure","Indie","Early Access",4992,13,15
"736","Duckles: the Jigsaw Witch","Action","Adventure","Indie",4991,6,14
"737","Memories of a Vagabond","Adventure","Indie","RPG",4991,920,196
"738","Sometimes: Success Requires Sacrifice","Action","Adventure","Casual",4991,420,143
"739","Onmyoji","Adventure","RPG","Strategy",4978,552,258
"740","Star Conflict","Action","Free to Play","Massively Multiplayer",4973,8647,2796
"741","RiotZ","Action","Indie","Massively Multiplayer",4971,5,12
"742","Witch It","Action","Casual","Indie",4971,2636,283
"743","Worst Case Z","Action","Adventure","Indie",4963,27,17
"744","SecondSpeed","Action","Adventure","Indie",4957,7,7
"745","Hyper Light Drifter","Action","Adventure","Indie",4954,11027,721
"746","Save the Ninja Clan","Violent","Gore","Action",4941,85,7
"747","Altitude","Action","Free to Play","Indie",4940,1540,128
"748","Ancestors Legacy","Strategy",NA,NA,4940,1962,674
"749","The Jackbox Party Pack 2","Casual","Indie","Strategy",4937,533,32
"750","Scorch","Action","Adventure","Casual",4927,13,8
"751","Scorch","Casual","Free to Play","Indie",4927,182,37
"752","LEGO® Worlds","Adventure",NA,NA,4911,9013,2738
"753","Airstrike HD","Casual","Indie",NA,4899,185,154
"754","TWIN BROS","Casual","Indie",NA,4885,8,2
"755","Satanist","Indie",NA,NA,4874,9,21
"756","Chronicon","Action","Adventure","Indie",4868,1209,76
"757","Kingdoms and Castles","Indie","Simulation","Strategy",4856,6380,1119
"758","Master of Orion","Strategy",NA,NA,4852,2961,1290
"759","Chaos Town","Action","Indie","RPG",4840,5,0
"760","X-Blades","Nudity","Violent","Action",4840,1566,981
"761","A Detective's Novel","Adventure","Indie",NA,4826,510,231
"762","Call of Duty: World at War","Action",NA,NA,4825,19595,1483
"763","Shadows 2: Perfidia","Action","Adventure","Casual",4821,139,39
"764","The Stanley Parable","Adventure","Indie",NA,4818,31538,2846
"765","Pimp Tight","Sexual Content","Violent","Action",4808,1,0
"766","Rain World","Action","Adventure","Indie",4808,1497,263
"767","Star Wars: Battlefront 2 (Classic, 2005)","Action",NA,NA,4789,29149,2425
"768","The Deer","Adventure","Indie",NA,4788,1460,884
"769","Orbox C","Indie",NA,NA,4782,177,4
"770","Wargame: Red Dragon","Strategy",NA,NA,4779,7949,1137
"771","BlazBlue Centralfiction","Action",NA,NA,4773,2136,232
"772","Osiris: New Dawn","Action","Adventure","Indie",4773,6333,3149
"773","Worms W.M.D","Action","Strategy",NA,4767,2132,528
"774","Might & Magic: Clash of Heroes","RPG","Strategy",NA,4757,1293,157
"775","Outlaws of the Old West","Action","Adventure","Casual",4751,1459,742
"776","Shufflepuck Cantina Deluxe","Action","Indie","Sports",4747,415,75
"777","Lost Castle","Action","Adventure","Indie",4701,11930,1392
"778","Danganronpa V3: Killing Harmony","Adventure",NA,NA,4691,3240,571
"779","Tungulus","Indie",NA,NA,4689,17,19
"780","Steel Division: Normandy 44","Action","Simulation","Strategy",4678,3063,1204
"781","Charlie's Adventure","Action","Adventure","Casual",4663,129,73
"782","Zero Gear","Action","Indie","Racing",4659,652,173
"783","Ares Omega","Action","Indie","RPG",4653,7,7
"784","POSTAL 2","Action","Adventure","Indie",4636,36263,1872
"785","Organ Trail: Director's Cut","Indie","Strategy",NA,4629,2182,284
"786","Flame of Memory","Indie","Strategy",NA,4608,22,10
"787","Time in Time","Indie","Strategy",NA,4602,31,17
"788","No Way Out","Action","Adventure","Indie",4601,38,36
"789","FaeVerse Alchemy","Casual","Indie","Strategy",4593,195,96
"790","Parallels Cross","Adventure","Casual","Indie",4587,11,4
"791","Dino D-Day","Action","Indie",NA,4585,12222,2367
"792","Gal-X-E","Action","Adventure","Casual",4582,55,6
"793","Planetary Annihilation: TITANS","Strategy",NA,NA,4577,5373,1375
"794","Undead Hunter","Action","Adventure","Indie",4571,7,6
"795","City of Chains","Adventure","Indie","RPG",4570,207,64
"796","FINAL FANTASY VI","RPG",NA,NA,4556,884,259
"797","Adorables","Casual","Indie","Sports",4549,518,186
"798","Verdun","Action","Indie","Strategy",4541,22048,4418
"799","Avorion","Action","Indie","Simulation",4533,3190,398
"800","Psychonauts","Action",NA,NA,4531,8204,456
"801","Ampersand","Indie","Racing",NA,4524,319,680
"802","12 is Better Than 6","Action","Indie",NA,4517,3192,576
"803","Crush Crush","Casual","Free to Play","Indie",4512,7239,982
"804","Next Day: Survival","Action","Indie","RPG",4511,4854,2493
"805","Toki Tori","Casual","Indie",NA,4511,1660,226
"806","Lift It","Action","Adventure","Casual",4510,41,41
"807","Granado Espada","Free to Play","Massively Multiplayer","RPG",4505,181,124
"808","The Evil Within","Action",NA,NA,4499,10581,2363
"809","Hero Quest: Tower Conflict","Action","Casual","Indie",4479,72,188
"810","Magic Technology","Indie","Strategy",NA,4477,25,6
"811","The Banner Saga","Indie","RPG","Strategy",4476,9750,1131
"812","Beat Saber","Indie","Early Access",NA,4472,11083,797
"813","FINAL FANTASY VIII","RPG",NA,NA,4470,5323,682
"814","The Next Door","Adventure","Casual","Indie",4460,340,341
"815","The Far Frontier","Gore","Casual","Indie",4457,35,15
"816","AuroraRL","Action","Adventure","Indie",4441,137,50
"817","Organ Biker","Action","Casual","Indie",4438,29,37
"818","3 Coins At School","Casual","Indie","Simulation",4435,21,49
"819","Interstellar Marines","Action","Indie","RPG",4426,4556,2946
"820","Chicka Wars | Chicken Meat","Action","Adventure","Casual",4416,42,38
"821","Cyber City 2157: The Visual Novel","Adventure","Casual","Indie",4413,101,73
"822","Titan Souls","Action","Adventure","Indie",4404,3556,981
"823","DiRT 4","Racing","Simulation","Sports",4396,3779,1923
"824","Survarium","Action","Free to Play","Massively Multiplayer",4382,9985,9441
"825","Color Chemistry","Casual","Indie","Strategy",4357,26,8
"826","Bibou","Action","Adventure","Indie",4354,68,130
"827","Car Mechanic Simulator 2015","Racing","Simulation",NA,4340,8238,827
"828","Agapan","Adventure","Indie","RPG",4335,20,5
"829","BattleStorm","Action","Casual","Indie",4322,42,12
"830","Streets of Rogue","Action","Adventure","Indie",4320,5484,269
"831","Zombie Army Trilogy","Action",NA,NA,4320,8472,1330
"832","BIT.TRIP BEAT","Action","Casual","Indie",4318,616,140
"833","Punch Club","Indie","RPG","Strategy",4305,6071,1669
"834","Project Starship","Action","Casual","Indie",4300,361,66
"835","Timberman","Action","Casual","Indie",4296,5139,350
"836","MONMUSU","Sexual Content","Nudity","Casual",4291,1782,613
"837","Broforce","Action","Adventure","Casual",4285,31033,1059
"838","Grand Ages: Medieval","Simulation","Strategy",NA,4274,705,902
"839","嗜血印 Bloody Spell","Action","Adventure","Indie",4256,1042,257
"840","Chowdertwo","Action","Adventure","Indie",4255,7,2
"841","Head Shot","Action","Adventure","Casual",4255,861,888
"842","AaAaAA!!! - A Reckless Disregard for Gravity","Action","Indie","Sports",4253,547,103
"843","Reus","Indie","Simulation","Strategy",4252,3569,917
"844","Torsion","Action","Adventure","Indie",4248,14,10
"845","Purgatory","Action","Adventure","Indie",4242,120,71
"846","The Incredible Adventures of Van Helsing","Action","Adventure","Indie",4231,4993,1064
"847","Shop Heroes","Casual","Free to Play","Massively Multiplayer",4222,1978,868
"848","Radical Spectrum: Volume 1","Action",NA,NA,4218,51,33
"849","X-Plane 11","Simulation",NA,NA,4210,2033,443
"850","F.E.A.R. 2: Project Origin","Action",NA,NA,4209,3274,509
"851","RPG Maker VX Ace","Design & Illustration","Web Publishing",NA,4196,3372,210
"852","Bayonetta","Action","Adventure",NA,4194,8866,843
"853","Bastion","Action","Indie","RPG",4186,27887,1098
"854","Kimulator : Fight for your destiny","Action","Adventure","Casual",4176,269,163
"855","iREC","Indie",NA,NA,4172,47,61
"856","INSIDE","Action","Adventure","Indie",4170,19660,934
"857","Langoth","Action","Adventure","Indie",4164,24,30
"858","Dungeon of Elements","Adventure","Casual","Indie",4157,73,98
"859","Sol Survivor","Indie","Strategy",NA,4153,293,30
"860","And Yet It Moves","Action","Indie",NA,4148,735,327
"861","Legend of Grimrock 2","Adventure","Indie","RPG",4146,2075,215
"862","Celia's Quest","Adventure","Indie","RPG",4140,6,1
"863","Poly Bridge","Indie","Simulation",NA,4134,4112,520
"864","Unexpected Day","Action","Adventure","Casual",4127,50,70
"865","Vindictus","Action","Adventure","Free to Play",4124,3646,1460
"866","Beat Hazard","Action","Casual","Indie",4123,6296,328
"867","The fall of gods","Action","Adventure","Indie",4122,39,9
"868","Line of Sight","Action","Free to Play","Indie",4120,4562,3397
"869","Xenobox VR","Action","Indie","Early Access",4114,3,0
"870","Inverted","Action","Adventure","Casual",4110,97,59
"871","Kingdom Two Crowns","Adventure","Indie","Simulation",4097,736,377
"872","Foundation","Indie","Simulation","Strategy",4088,1228,386
"873","Sniper Ghost Warrior 3","Violent","Action",NA,4086,2973,2465
"874","WAKFU","Adventure","Free to Play","Massively Multiplayer",4078,4413,1335
"875","SOMA","Action","Adventure","Indie",4072,16463,754
"876","Crusaders of the Lost Idols","Casual","Free to Play","Indie",4068,1823,345
"877","28 Waves Later","Action","Casual",NA,4067,54,150
"878","Mutant Year Zero: Road to Eden","RPG","Strategy",NA,4067,5034,682
"879","Rocksmith® 2014 Edition - Remastered","Casual","Simulation",NA,4063,8228,789
"880","Pixel Puzzles Ultimate","Casual","Free to Play","Indie",4048,895,372
"881","Vikings - Wolves of Midgard","Nudity","Violent","Gore",4043,1580,1172
"882","AWA","Action","Indie",NA,4039,52,22
"883","Sleeping Dogs: Definitive Edition","Action","Adventure","Racing",4035,15529,1904
"884","Art of War: Red Tides","Violent","Free to Play","Indie",4031,4858,1169
"885","Calcu-Late","Adventure","Indie","RPG",4024,172,124
"886","TheScreamer VR","Indie","Simulation",NA,4020,6,4
"887","Alien Hostage","Casual","Indie","Simulation",4015,61,44
"888","Jet Gunner","Action","Adventure","Indie",4013,464,137
"889","Pyre","Action","Indie","RPG",4013,4306,452
"890","Towns","Indie","RPG","Simulation",4011,632,1878
"891","Omerta - City of Gangsters","Simulation","Strategy",NA,4009,1029,632
"892","The Talos Principle","Action","Adventure","Indie",4007,17237,785
"893","Hover Hazard","Casual","Indie",NA,4002,17,8
"894","Batman - The Telltale Series","Adventure",NA,NA,4001,5729,1783
"895","Asteroid Bounty Hunter","Action","Adventure","Casual",3999,398,190
"896","Burning Cars","Racing",NA,NA,3999,4,32
"897","Grey Goo","Strategy",NA,NA,3999,2342,1117
"898","Air Threat","Action","Casual","Indie",3989,28,9
"899","Medieval Engineers","Action","Indie","Simulation",3984,3233,1376
"900","theHunter Classic","Action","Adventure","Free to Play",3984,11440,15403
"901","Squeezone","Action","Adventure","Casual",3977,66,64
"902","The Deed","Adventure","RPG",NA,3976,1378,137
"903","Source Filmmaker","Animation & Modeling","Video Production",NA,3975,15083,1111
"904","Night Forest","Action","Adventure","Casual",3969,26,47
"905","Dead Maze","Action","Free to Play","Massively Multiplayer",3967,1897,746
"906","The Lord of the Rings Online™","Free to Play","Massively Multiplayer","RPG",3965,6860,1644
"907","eSports Legend / 电竞传奇","Casual","Indie","Simulation",3960,441,259
"908","FINAL FANTASY V","RPG",NA,NA,3953,489,198
"909","Eron","Indie",NA,NA,3950,138,102
"910","RUSH","Casual","Indie","Strategy",3944,1069,117
"911","RUSH","Action","Racing","Simulation",3944,64,9
"912","Stellar 2D","Action","Casual","Indie",3944,383,600
"913","$1 Ride","Action","Casual","Indie",3941,283,392
"914","Ravenfield","Action","Indie","Early Access",3939,9119,569
"915","Planet R-12","Action","Adventure","Indie",3932,116,24
"916","My Name is You","Indie",NA,NA,3919,335,85
"917","Bus Simulator 18","Simulation",NA,NA,3914,1585,698
"918","The Jackbox Party Pack","Casual","Indie","Strategy",3913,774,72
"919","Minimized","Action","Indie",NA,3907,91,74
"920","Rogue Port - Red Nightmare","Adventure","Indie","RPG",3906,51,11
"921","Shift Happens","Action","Indie",NA,3905,224,24
"922","Spirit of Maya","Action","Indie",NA,3903,26,15
"923","The Jackbox Party Pack 4","Casual","Indie","Strategy",3902,284,54
"924","Workers & Resources: Soviet Republic","Indie","Simulation","Strategy",3891,1369,311
"925","Turbo Pug 3D","Casual","Indie",NA,3889,190,101
"926","PC Building Simulator","Indie","Simulation",NA,3884,6563,775
"927","#KILLALLZOMBIES","Action","Indie",NA,3879,42,15
"928","Heat Signature","Action","Adventure","Indie",3877,3247,220
"929","Wreckfest","Action","Indie","Racing",3865,8834,2486
"930","100% Orange Juice","Indie","Strategy",NA,3860,10605,794
"931","Save Jesus","Casual","Indie",NA,3855,1512,178
"932","Planes, Bullets and Vodka","Action","Casual","Indie",3843,567,77
"933","Streng Check","Action","Adventure","Indie",3841,2,0
"934","1 vs 1 : Global Operations","Action","Indie","Strategy",3838,31,32
"935","Ashes of the Singularity: Escalation","Indie","Simulation","Strategy",3831,1551,472
"936","Digimon Masters Online","Action","Adventure","Casual",3830,2836,1350
"937","Goblet of Maya","Adventure","Indie",NA,3829,13,1
"938","The Adventures of Fluffy","Adventure","Indie","RPG",3826,4,15
"939","Duo","Casual","Indie",NA,3818,21,1
"940","VEGA Conflict","Free to Play","Massively Multiplayer","Strategy",3814,1471,1322
"941","Agarest: Generations of War","Adventure","RPG","Strategy",3813,1199,447
"942","Castlevania: Lords of Shadow 2","Action","Adventure",NA,3802,2390,479
"943","Razortron 2000","Casual","Indie","Racing",3801,578,84
"944","The Pasture","Nudity","Casual","Indie",3787,72,76
"945","Town of Salem","Indie","RPG","Strategy",3787,13329,2112
"946","Ball 3D: Soccer Online","Action","Free to Play","Sports",3764,2093,666
"947","Baldur's Gate: Enhanced Edition","RPG","Strategy",NA,3756,4148,688
"948","Crash Bandicoot™ N. Sane Trilogy","Action",NA,NA,3755,3555,237
"949","SAO Utils: Beta","Utilities","Early Access",NA,3747,780,222
"950","SUPERHOT: MIND CONTROL DELETE","Action","Indie","Early Access",3746,240,36
"951","SteamWorld Dig 2","Action","Adventure","Indie",3736,1443,55
"952","Space Pirates and Zombies","Action","Indie","RPG",3735,2315,202
"953","Secret World Legends","Action","Adventure","Free to Play",3731,4420,2106
"954","Supreme Commander 2","Strategy",NA,NA,3730,5336,903
"955","Dreadnought","Action","Free to Play","Massively Multiplayer",3727,1363,1288
"956","Tree of Life","Indie","Massively Multiplayer","RPG",3708,4433,2203
"957","Moon Colonization Project","Adventure","Casual","Indie",3707,156,233
"958","Cosmic Rocket Defender","Action","Indie",NA,3703,15,29
"959","Agents of Mayhem","Sexual Content","Violent","Action",3687,1808,1264
"960","CryoFall","Action","Adventure","Indie",3681,195,44
"961","Faeria","Adventure","Indie","Massively Multiplayer",3675,4683,882
"962","Bacteria","Casual","Indie",NA,3666,154,124
"963","RYAN BLACK","Action","Adventure","Indie",3660,18,22
"964","Evil Glitch","Action",NA,NA,3645,27,2
"965","Pixel Survivors","Casual","Indie","Simulation",3617,155,84
"966","Armello","Adventure","Indie","RPG",3614,7208,1816
"967","Atlas Reactor","Free to Play","Strategy",NA,3613,3992,890
"968","StarDrive 2","Indie","Strategy",NA,3609,967,758
"969","Marvel vs. Capcom: Infinite","Action",NA,NA,3603,862,624
"970","TrackMania² Stadium","Racing","Sports",NA,3597,2915,571
"971","Rising Runner","Casual","Indie",NA,3596,10,0
"972","Drift Horizon Online","Action","Racing","Simulation",3591,122,175
"973","Talisman: Digital Edition","Indie","RPG","Strategy",3590,2975,986
"974","Wargame: European Escalation","Strategy",NA,NA,3588,1892,574
"975","Star Project","Action","Indie","RPG",3580,21,46
"976","The Pit And The Pendulum","Adventure","Casual","Indie",3573,69,138
"977","The Housewife","Indie","Simulation",NA,3565,74,149
"978","Through Abandoned: The Underground City","Adventure","Indie",NA,3561,127,40
"979","Kabitis","Action","Adventure","Casual",3559,100,99
"980","Daily Chthonicle: Editor's Edition","Adventure","Casual","Indie",3557,85,27
"981","Sponchies","Action","Casual","Indie",3557,30,4
"982","FaceRig","Animation & Modeling","Video Production",NA,3554,3841,785
"983","GRID Autosport","Racing","Sports",NA,3554,4969,1610
"984","Existence speed","Casual",NA,NA,3551,8,15
"985","Five Nights at Freddy's: Sister Location","Action","Indie","Simulation",3549,4763,491
"986","Get'em Gary","Action","Casual","Indie",3544,1,0
"987","Fistful of Frags","Action","Free to Play","Indie",3537,23803,2399
"988","DARTHY","Casual","Indie",NA,3535,26,8
"989","DiRT Rally 2.0","Racing","Simulation","Sports",3533,1017,670
"990","The Braves & Bows","Adventure","Casual","Indie",3531,48,27
"991","Beasts of Bermuda","Adventure","Indie","Massively Multiplayer",3523,311,171
"992","Kingdom: New Lands","Indie","Simulation","Strategy",3518,4619,741
"993","Drop The Bomb","Casual","Indie","Massively Multiplayer",3517,20,12
"994","Atonement 2: Ruptured by Despair","RPG",NA,NA,3516,84,29
"995","JiPS","Casual","Indie","Simulation",3513,31,13
"996","The Guild 3","RPG","Simulation","Strategy",3513,1257,1324
"997","Crappy Day Enhanced Edition","Adventure","Casual","Indie",3510,8,5
"998","Windward","Action","Adventure","Indie",3510,2203,552
"999","Space Hulk","Indie","Strategy",NA,3505,1292,556
"1000","Skyforge","Free to Play","Massively Multiplayer","RPG",3499,1270,946
"1001","LEGO® Jurassic World","Action","Adventure",NA,3498,2558,431
"1002","We Happy Few","Action","Adventure","Indie",3498,3130,1333
"1003","Worm.is: The Game","Casual","Free to Play",NA,3498,3550,879
"1004","Warlock - Master of the Arcane","Strategy",NA,NA,3490,1811,293
"1005","Go Mission: Space Travel","Action","Adventure","Indie",3487,58,61
"1006","Surgeon Simulator","Action","Indie","Simulation",3487,11387,2462
"1007","Oracle","Adventure","Casual","Indie",3485,108,99
"1008","What's under your blanket !?","Simulation",NA,NA,3483,2207,422
"1009","DEFCON","Indie","Strategy",NA,3474,2057,344
"1010","Yakuza Kiwami","Action","Adventure","RPG",3474,1449,116
"1011","H.E.","Adventure","Casual","Indie",3473,3,4
"1012","Dungeon Fighter Online","Action","Adventure","Free to Play",3469,1706,604
"1013","Gloria Victis","Action","Adventure","Indie",3467,2646,1211
"1014","Happy Singh Adventures","Action","Adventure","Indie",3459,2,2
"1015","Project Shield","Action","Casual","Early Access",3458,7,2
"1016","This Is the Police 2","Adventure","Indie","Strategy",3451,1877,577
"1017","Warhammer 40,000: Gladius - Relics of War","Strategy",NA,NA,3451,944,278
"1018","Tales of Vesperia: Definitive Edition","RPG",NA,NA,3450,555,66
"1019","Cubway","Action","Adventure","Indie",3441,83,34
"1020","Neighboring Islands","Adventure","Indie",NA,3436,75,14
"1021","FINAL FANTASY IV","RPG",NA,NA,3432,877,183
"1022","CrossCode","RPG",NA,NA,3429,6219,336
"1023","Holdfast: Nations At War","Action","Indie","Early Access",3419,4354,741
"1024","Victoria II","Strategy",NA,NA,3419,4743,632
"1025","Western FPS","Indie",NA,NA,3415,91,40
"1026","StellarHub","Simulation",NA,NA,3412,63,46
"1027","Snake Pass","Adventure","Casual","Indie",3406,788,204
"1028","Train Fever","Casual","Indie","Simulation",3406,1947,1143
"1029","Sid Meier's Starships","Strategy",NA,NA,3404,881,1071
"1030","Danganronpa: Trigger Happy Havoc","Adventure",NA,NA,3392,5714,167
"1031","Deus Ex: Human Revolution - Director's Cut","Action","RPG",NA,3392,13044,1233
"1032","Grand Theft Auto: San Andreas","Action",NA,NA,3387,26877,3243
"1033","Itineris","Adventure","Casual","Indie",3385,39,52
